                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1637,                 4.2804,                 2.2662,                0.02206,                 0.1298,                0.00807,                0.00185,                 3.2944,                 8.6136,                 2.6763,             0.00066049,             0.00066049,             0.00066049
                      2,                  2.982,                 3.2464,                 2.2019,                0.06315,                  0.117,                0.03165,                0.00888,                 2.9381,                 3.2576,                 2.2409,              0.0008892,              0.0008892,              0.0008892
                      3,                 2.8507,                 3.0462,                 2.0951,                0.13498,                0.14377,                0.06205,                0.01868,                  2.814,                 3.1556,                  2.179,              0.0006779,              0.0006779,              0.0006779
